timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725881295764,4000,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,577,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=c2d4822d-3347-4d03-87c8-dc371634118a&t=1725881295762,3999,0,0
1725881299833,1829,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,589,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=c1f71bc3-74eb-4498-851b-364f973a3391&t=1725881299832,1828,0,0
1725881301664,1877,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,563,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5b326208-c1c8-4ae2-9fa3-8f1458c34002&t=1725881301663,1877,0,0
1725881303544,3231,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,599,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=03443a02-8339-47a4-9388-e38417220baf&t=1725881303543,3230,0,0
1725881306777,2131,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,577,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=ddd78851-3d0e-480e-b2a3-2edd5baa118b&t=1725881306777,2131,0,1
1725881308911,1740,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,597,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=6a41a2bb-c4b2-4d0b-ad36-980896221c91&t=1725881308911,1740,0,1
1725881310654,1855,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,585,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3171465e-10c4-41b2-9a22-13ee57c0bf2c&t=1725881310654,1855,0,1
1725881312511,3508,IM ChatGPT 问题,200,OK,线程组 1-1,text,true,,912,583,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e9102206-15a6-4d37-b797-b266d4ec985a&t=1725881312511,3508,0,1
1725881316022,2016,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,551,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=4360bbb8-74f1-4e0c-b0f4-3f6eef7548f6&t=1725881316022,2016,0,1
1725881318040,1848,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,576,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=852f3c92-26ee-403e-9eef-4e27f80158a9&t=1725881318040,1848,0,1
1725881319891,1844,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,577,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5e4e7ea2-5e51-4e6b-bdb1-6bde3d4b8098&t=1725881319890,1844,0,0
1725881321737,2022,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,614,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f3a5a616-e9ea-4ec6-ac87-63d2e79cb59c&t=1725881321737,2022,0,1
1725881323760,1694,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,552,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=13479b2b-951e-45a2-b4b5-1c96fed4baa1&t=1725881323760,1693,0,1
1725881325455,1847,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,564,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=208cba97-b153-4e24-b3a6-e62ce8f3d86a&t=1725881325455,1847,0,0
1725881327306,1892,IM ChatGPT 问题,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",223,624,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7bd5018a-9f96-4bcf-b9b1-06a1f81955a5&t=1725881327305,1892,0,0
